epoch,train_loss,field_loss,surface_p_loss,ux,uy,p,nut
131,0.42163623,0.07587343,0.69152561,0.02156283,0.03631262,0.1416359,0.08754173
132,0.3794298,0.07722378,0.60441204,0.02136334,0.03642788,0.14586531,0.0880782
133,0.34370856,0.07460565,0.53820582,0.02098254,0.03546491,0.13826794,0.08779165
134,0.39257123,0.07534649,0.63444948,0.02085672,0.03571327,0.1403385,0.08822948
135,0.37445915,0.07678992,0.59533847,0.02099608,0.03619982,0.14473977,0.08823656
136,0.34955289,0.07634685,0.54641208,0.02102703,0.03611031,0.14400621,0.087329
137,0.33977117,0.07473226,0.53007781,0.02079532,0.03561445,0.13895381,0.08751008
138,0.40027413,0.07544463,0.64965904,0.02088872,0.03553511,0.14130817,0.08758062
139,0.32491317,0.07459848,0.50062939,0.02078391,0.03550098,0.13812843,0.0880981
140,0.40598537,0.07495186,0.66206703,0.02087985,0.03547792,0.13896059,0.08848688
141,0.39553796,0.07636126,0.63835339,0.02092549,0.03598287,0.14467648,0.08678138
142,0.3563139,0.07609333,0.56044113,0.0208127,0.03598095,0.14244978,0.08854076
143,0.3222837,0.07529234,0.49398271,0.0208295,0.03541174,0.14037767,0.08827909
144,0.35777921,0.07581185,0.56393474,0.02100302,0.03577593,0.14183362,0.08812938
145,0.37939062,0.07610626,0.60656871,0.02083919,0.03582947,0.14320168,0.08778086
146,0.31768369,0.07516251,0.48504236,0.02079288,0.03558316,0.14019666,0.08781879
147,0.41803873,0.07797865,0.68012018,0.02112411,0.03645514,0.14880562,0.08782297
148,0.34637261,0.07654742,0.53965036,0.02074395,0.03582545,0.14507343,0.08741535
149,0.47836491,0.07554275,0.8056443,0.02073681,0.03545382,0.14183939,0.08756683
150,0.35134522,0.07576751,0.55115541,0.02075128,0.03570633,0.142664,0.08722432
151,0.33329653,0.07508243,0.5164282,0.02073198,0.03539228,0.1395259,0.08856869
152,0.28945348,0.07501611,0.42887473,0.02060124,0.03547379,0.13963987,0.08819361
153,0.29029919,0.07318026,0.43423788,0.02060957,0.03475284,0.13410049,0.08802809
154,0.33605288,0.07572356,0.52065864,0.02071044,0.03586022,0.1425409,0.08707834
155,0.31408483,0.074811,0.47854766,0.02059416,0.03536648,0.13864447,0.08868053
156,0.33362734,0.07450163,0.51825141,0.02064208,0.03532152,0.13812223,0.08801554
157,0.34105649,0.07563698,0.53083901,0.0207267,0.03566313,0.1421923,0.08732697
158,0.35172841,0.07532118,0.55281447,0.02069081,0.03556324,0.14128082,0.08725993
159,0.33431464,0.07507546,0.51847836,0.02065497,0.03554123,0.14097952,0.08665009
160,0.31311392,0.07504025,0.47614735,0.02079365,0.03538697,0.14018736,0.08750623
161,0.41274969,0.075232,0.67503539,0.02070628,0.03528077,0.14029309,0.08838256
162,0.34480399,0.07586886,0.53787025,0.02076837,0.03558126,0.1434676,0.08675854
163,0.3543871,0.07489036,0.55899349,0.02052615,0.03516391,0.14024707,0.08728516
164,0.30951558,0.07529661,0.46843793,0.02078362,0.03526481,0.1415518,0.08702241
165,0.31953257,0.07429505,0.49047503,0.02039182,0.03486877,0.1385564,0.08729786
166,0.36937303,0.07400107,0.59074393,0.0202706,0.03454319,0.1379174,0.08729398
167,0.46427464,0.07679978,0.77494975,0.02042232,0.03550323,0.14606085,0.08789742
168,0.3267202,0.07674744,0.49994551,0.02049982,0.03545519,0.1459221,0.08781896
169,0.33584651,0.07524432,0.52120439,0.02055678,0.03545125,0.14131606,0.08713525
170,0.36194779,0.07400393,0.57588769,0.02058669,0.03502024,0.13848979,0.08579755
171,0.34076969,0.07524756,0.53104425,0.02046103,0.03529866,0.14202224,0.08651466
172,0.28136025,0.07454031,0.41363986,0.02035775,0.03524879,0.13943322,0.08689826
173,0.31744015,0.0741797,0.48652088,0.0203245,0.03483496,0.13883777,0.08655705
174,0.33918885,0.07445583,0.52946604,0.02032697,0.03478798,0.14012563,0.08616532
175,0.32371529,0.07518623,0.4970581,0.0206007,0.03504095,0.1415816,0.08692282
176,0.35631551,0.0745846,0.56346183,0.02043141,0.03485894,0.13978059,0.08696845
177,0.36321692,0.0737524,0.57892904,0.02029459,0.03440204,0.13756624,0.08679326
178,0.3902373,0.07429325,0.6318881,0.02020951,0.03476581,0.13944685,0.08646245
179,0.32343002,0.07317964,0.50050075,0.02031387,0.03447325,0.13547846,0.08687828
180,0.29924308,0.0741151,0.45025597,0.02023168,0.03483966,0.13876146,0.086466
181,0.34215335,0.07301974,0.53826723,0.02013399,0.03424358,0.13614396,0.0857764
182,0.3360265,0.07480748,0.52243805,0.02031189,0.03482405,0.14116909,0.08633449
183,0.36446793,0.07375793,0.58142,0.02009737,0.03442491,0.13761623,0.08692864
184,0.24074508,0.07370235,0.33408546,0.02026578,0.03464718,0.13730631,0.08668912
185,0.3312412,0.07275804,0.51696634,0.02023251,0.03436121,0.13508121,0.08577641
186,0.32184323,0.07351942,0.49664764,0.02021619,0.03447924,0.13714551,0.08633021
187,0.39250216,0.07515067,0.63470297,0.02039452,0.03473294,0.14232692,0.08635423
188,0.37264485,0.07314817,0.59899335,0.0200783,0.03423401,0.13702234,0.08528948
189,0.37467817,0.07560537,0.5981456,0.02019513,0.03486158,0.14424659,0.08595788
190,0.40223215,0.07404175,0.6563808,0.02011602,0.0343407,0.1392675,0.08613634
191,0.40611381,0.07187411,0.66847939,0.01995532,0.03365723,0.13267722,0.08600591
192,0.28142196,0.07275998,0.41732397,0.02007361,0.03416406,0.13490017,0.08636702
193,0.36994035,0.07120008,0.59748053,0.02018227,0.03335198,0.13082307,0.08553724
194,0.34003436,0.07359357,0.53288155,0.01996081,0.03419384,0.13892551,0.08496115
195,0.30717303,0.07299153,0.46836298,0.01990902,0.03405844,0.13600787,0.08623672
196,0.30980553,0.07237921,0.47485264,0.01990835,0.03391924,0.13514991,0.0848467
197,0.35513966,0.07198343,0.56631245,0.01999139,0.03375525,0.13302871,0.08589706
198,0.34914427,0.07416363,0.5499613,0.02002006,0.03445687,0.13965062,0.08615519
199,0.3323697,0.07133684,0.52206571,0.01991903,0.033335,0.13187188,0.08508771
200,0.35920356,0.07292209,0.57256295,0.02002492,0.03401828,0.13639242,0.08538515
201,0.30813278,0.0720767,0.47211217,0.02027855,0.03406889,0.13381717,0.08470707
202,0.33863766,0.07401743,0.52924044,0.02003526,0.03429719,0.13967375,0.08564948
203,0.27391884,0.07234372,0.40315024,0.0199935,0.03397219,0.13474665,0.08506182
204,0.31384328,0.07373738,0.4802118,0.01996479,0.03426814,0.13855187,0.08596108
205,0.2503837,0.07179285,0.3571817,0.020062,0.03371983,0.13242137,0.08581107
206,0.29131939,0.07214881,0.43834117,0.01979884,0.0336742,0.13450957,0.08502243
207,0.36764607,0.07254846,0.59019522,0.01983859,0.03368751,0.13550984,0.08541753
208,0.34841313,0.07110464,0.55461694,0.01975072,0.03327827,0.13127687,0.08506965
209,0.36268488,0.07270601,0.57995773,0.01983025,0.03378268,0.13672361,0.08448308
210,0.32318703,0.07169484,0.50298438,0.01979189,0.03336539,0.13330167,0.08491871
211,0.31893657,0.07162658,0.49461997,0.01972459,0.0334078,0.13299335,0.0850389
212,0.36306767,0.0740915,0.57795234,0.01985207,0.03401983,0.14075426,0.08507417
213,0.33901353,0.07354251,0.53094201,0.02006556,0.03379593,0.13921215,0.08467901
214,0.32737519,0.07258653,0.50957733,0.01986238,0.03370042,0.13642656,0.08439677
215,0.35211106,0.07219068,0.55984076,0.01968567,0.03351339,0.13491212,0.08497115
216,0.39399917,0.07340065,0.64119702,0.01979427,0.03384087,0.13899517,0.08457368
217,0.30197049,0.0707301,0.46248079,0.0198304,0.03293938,0.13077438,0.08436515
218,0.36376148,0.07310832,0.58130632,0.01980316,0.03385734,0.13790505,0.08466853
219,0.33835779,0.07297894,0.53075771,0.01962628,0.03348154,0.13749518,0.0851837
220,0.30518587,0.07096296,0.46844583,0.01976632,0.03308736,0.13168509,0.08413253
221,0.31836566,0.07281753,0.49109626,0.01990258,0.03347594,0.13752329,0.08419185
222,0.28548793,0.07125846,0.42845895,0.01938747,0.03313541,0.1327284,0.08441505
223,0.35585021,0.07109693,0.56950655,0.01952457,0.03287758,0.13246037,0.08418434
224,0.31796408,0.07096308,0.49400202,0.01976131,0.03294922,0.13222146,0.08360571
225,0.33265782,0.07157871,0.5221582,0.01965986,0.0330582,0.13380187,0.08423914
226,0.31138749,0.07005125,0.48267248,0.01986311,0.03287811,0.12902012,0.08370145
227,0.34641991,0.06980689,0.55322607,0.01966365,0.03248161,0.12892233,0.08338109
228,0.37879101,0.0701188,0.61734441,0.01934989,0.03262538,0.12961067,0.08401633
229,0.26450218,0.07106794,0.38686848,0.01953971,0.03305741,0.1328221,0.083414
230,0.25899975,0.0696843,0.37863089,0.01954687,0.03263309,0.12763027,0.08444047
231,0.26718612,0.06885713,0.39665798,0.01940682,0.0327662,0.12539336,0.08372807
232,0.32671743,0.07191452,0.50960581,0.01957159,0.03312029,0.13562443,0.08341433
233,0.27360429,0.06881511,0.40957837,0.01956956,0.03248844,0.12551242,0.08351569
234,0.30580146,0.07111788,0.46936716,0.01961794,0.03268754,0.13306546,0.08361368
235,0.32119653,0.06861343,0.50516619,0.01992882,0.03249292,0.12488813,0.08307517
236,0.29921653,0.07080067,0.45683173,0.01952322,0.03269966,0.13242498,0.08314873
237,0.37708957,0.07144802,0.61128309,0.01938531,0.03252934,0.1348851,0.08313309
238,0.31630998,0.07023939,0.49214118,0.01940757,0.03245691,0.13089365,0.08303586
239,0.26475964,0.07018368,0.38915191,0.01942504,0.03246666,0.13108749,0.08252959
240,0.38035277,0.06896936,0.62276681,0.01940651,0.03188263,0.12631073,0.08394224
241,0.35535168,0.06855018,0.57360299,0.01926064,0.03164846,0.12580458,0.08317344
242,0.29432838,0.06893977,0.4507772,0.01907776,0.03199128,0.12731206,0.08278493
243,0.28429352,0.06920421,0.43017861,0.01926075,0.03250066,0.12787136,0.08251728
