,precision,recall,f1-score,support
dew,0.9785714285714285,0.9785714285714285,0.9785714285714285,140.0
fogsmog,0.8350515463917526,0.9473684210526315,0.8876712328767123,171.0
frost,0.9367088607594937,0.7789473684210526,0.8505747126436781,95.0
glaze,0.8879310344827587,0.8046875,0.8442622950819673,128.0
hail,1.0,0.9915966386554622,0.9957805907172996,119.0
lightning,1.0,0.9868421052631579,0.9933774834437086,76.0
rain,0.9696969696969697,0.9056603773584906,0.9365853658536586,106.0
rainbow,1.0,1.0,1.0,47.0
rime,0.8851063829787233,0.896551724137931,0.8907922912205567,232.0
sandstorm,0.8709677419354839,0.9712230215827338,0.9183673469387755,139.0
snow,0.8833333333333333,0.848,0.8653061224489796,125.0
accuracy,0.9150943396226415,0.9150943396226415,0.9150943396226415,0.9150943396226415
macro avg,0.9315788452863584,0.9190407804584445,0.9237535336178877,1378.0
weighted avg,0.9173077438705198,0.9150943396226415,0.9146696068250427,1378.0
